name,region,county,metres,latitude,longitude,Matthew,Scott,Amy,Emily,More folk please...,...,...,...,
Beinn Fhionnlaidh,03B: Loch Linnhe to Loch Etive,Argyll and Bute,959,56.600978,-5.104749,,,,,,,,,
Beinn nan Aighenan,03C: Glen Etive to Glen Lochy,Argyll and Bute,959,56.520349,-5.011178,,,,,,,,,
Bruach na Frithe,17B: Minginish and the Cuillin Hills,Highland,958.8,57.246761,-6.210795,,,,,,,,,
Buachaille Etive Beag - Stob Dubh,03B: Loch Linnhe to Loch Etive,Highland,958,56.638159,-4.970747,,,,,,,,,
Tolmount,07A: Braemar to Montrose,Aberdeenshire/Angus,957.8,56.904724,-3.297946,2021,,,,,,,,
Tom Buidhe,07A: Braemar to Montrose,Angus,957.8,56.893624,-3.292357,2021,,,,,,,,
Sgurr nan Coireachan (Glenfinnan),10D: Mallaig to Fort William,Highland,956.3,56.935728,-5.448551,,,,,,,,,
Carn Ghluasaid,11B: Glen Affric to Glen Moriston,Highland,956.3,57.165959,-5.068159,,,,,,,,,
Saileag,11A: Loch Duich to Cannich,Highland,956,57.181264,-5.281331,,,,,,,,,
Sgor Gaibhre,04B: Loch Treig to Loch Ericht,Highland/Perth and Kinross,954.7,56.772544,-4.546498,,,,,,,,,
Beinn Liath Mhor Fannaich,14B: The Fannaichs,Highland,954.2,57.706095,-4.989775,,,,,,,,,
Sgurr nan Coireachan (Glen Shiel),10B: Knoydart to Glen Kingie,Highland,953.8,57.007158,-5.40544,,,,,,,,,
Buachaille Etive Mor - Stob na Broige,03B: Loch Linnhe to Loch Etive,Highland,953.4,56.629879,-4.951162,,,,,,,,,
Am Faochagach,15A: Loch Broom to Strath Oykel,Highland,953,57.771801,-4.853882,,,,,,,,,
Beinn Mhanach,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,952.5,56.534032,-4.646042,,,,,,,,,
Aonach Eagach - Meall Dearg,03A: Loch Leven to Rannoch Station,Highland,952.3,56.68074,-5.003235,,,,,,,,,
Meall Chuaich,05B: Loch Ericht to Glen Tromie & Glen Garry,Highland,950.8,56.96385,-4.112568,,,,,,,,,
Meall Gorm,14B: The Fannaichs,Highland,949.7,57.680837,-4.983801,,,,,,,,,
Beinn Bhuidhe,01D: Inveraray to Crianlarich,Argyll and Bute,948.5,56.326686,-4.906709,,,,,,,,,
Sgurr Mhic Choinnich,17B: Minginish and the Cuillin Hills,Highland,948.1,57.208956,-6.224099,,,,,,,,,
Driesh,07A: Braemar to Montrose,Angus,947.6,56.848003,-3.196539,2025,,,,,,,,
Creag a' Mhaim,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,946.2,57.120971,-5.160048,,,,,,,,,
Sgurr na Sgine,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,946,57.147088,-5.396666,,,,,,,,,
Beinn Tulaichean,01C: Loch Lomond to Strathyre,Stirling,945.8,56.342234,-4.563315,,,2020,,,,,,
